date,selection,category,catalog
2027-01-05,"['Abdrängen des Gegners ', 'Zweierpassen übers ganze Feld', 'Abwehrverhalten ']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2027-01-08,"['Passformen (Kernwurfpass, Bodenpass, Gegenstosspass) in der Bewegung', 'Abwehrtechnik/Beinarbeit ', 'Ball auf Kasten abschiessen']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2027-01-12,"['Sprungwurf hoch/weit', 'Prellen ', '1:1 - 4:4 Gleichzahl mit und ohne Kreisläufer (mit zwei Anspielstationen) ']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2027-01-15,"['Rennen zum Ball', 'Tschechenviereck', 'Viereck passen - drei mal prellen für Punkt']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2027-01-19,"['Täuschungen Nullkontakt li/re; re/li mit Ball ', 'Duell um die Welt', 'Gegenstoss 2:1 zum 3:2']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2027-01-22,"['Kernwurf-Variationen mit 1-3 Schritten', 'Parallelpassen', 'Ball in Kreis ablegen']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2027-01-26,"['Herausspielen des Balles', 'Einpassen auf Bänkli', 'Kreis anspielen']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2027-01-29,"['Zweierpassen übers ganze Feld', 'Sprungwurf duell', 'Vom 2:1 zum 4:3 ']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2027-02-02,"['Abwehrtechnik/Beinarbeit ', 'Abdrängen des Gegners ', '2:1 bis 3:2 am Flügel']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2027-02-05,"['Prellen ', 'Täuschen/Durchbrechen (ohne/mit Ball)', '5er Passen']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2027-02-12,"['Rennen zum Ball', 'Tschechenviereck', 'Ablaufen mit/ohne Ball ']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2027-02-16,"['Sprungwurf hoch/weit', 'Passformen (Kernwurfpass, Bodenpass, Gegenstosspass) in der Bewegung', '1:1 - 4:4 Gleichzahl mit und ohne Kreisläufer (mit zwei Anspielstationen) ']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2027-02-19,"['Kernwurf-Variationen mit 1-3 Schritten', 'Parallelpassen', 'Ball auf Kasten abschiessen']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2027-02-23,"['Täuschungen Nullkontakt li/re; re/li mit Ball ', 'Herausspielen des Balles', 'Abwehrverhalten ']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2027-02-26,"['Zweierpassen übers ganze Feld', 'Einpassen auf Bänkli', 'Ball in Kreis ablegen']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2027-03-09,"['Abdrängen des Gegners ', 'Duell um die Welt', 'Gegenstoss 2:1 zum 3:2']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
