date,selection,category,catalog
2027-01-04,"['Kernwurf-Variationen mit 1-3 Schritten', 'Zweierpassen übers ganze Feld', 'Gegenstoss 2:1 zum 3:2']","['Technik', 'Technik', 'Spielfähigkeit']",U13A/Catalogs_U13A/Cat001.csv
2027-01-08,"['Prellen ', 'Passformen (Kernwurfpass, Bodenpass, Gegenstosspass) in der Bewegung', '5er Passen']","['Technik', 'Technik', 'Spielfähigkeit']",U13A/Catalogs_U13A/Cat001.csv
2027-01-11,"['Herausspielen des Balles', 'Tschechenviereck', 'Ablaufen mit/ohne Ball ']","['Technik', 'Technik', 'Spielfähigkeit']",U13A/Catalogs_U13A/Cat001.csv
2027-01-15,"['Sprungwurf hoch/weit', 'Einpassen auf Bänkli', 'Kreis anspielen']","['Technik', 'Technik', 'Spielfähigkeit']",U13A/Catalogs_U13A/Cat001.csv
2027-01-18,"['Duell um die Welt', 'Parallelpassen', 'Ball in Kreis ablegen']","['Technik', 'Technik', 'Spielfähigkeit']",U13A/Catalogs_U13A/Cat001.csv
2027-01-22,"['Täuschen/Durchbrechen (ohne/mit Ball)', 'Sprungwurf duell', '2:1 bis 3:2 am Flügel']","['Technik', 'Technik', 'Spielfähigkeit']",U13A/Catalogs_U13A/Cat001.csv
2027-01-25,"['Täuschungen Nullkontakt li/re; re/li mit Ball ', 'Abdrängen des Gegners ', 'Viereck passen - drei mal prellen für Punkt']","['Technik', 'Technik', 'Spielfähigkeit']",U13A/Catalogs_U13A/Cat001.csv
2027-01-29,"['Abwehrtechnik/Beinarbeit ', 'Rennen zum Ball', '1:1 - 4:4 Gleichzahl mit und ohne Kreisläufer (mit zwei Anspielstationen) ']","['Technik', 'Technik', 'Spielfähigkeit']",U13A/Catalogs_U13A/Cat001.csv
2027-02-01,"['Prellen ', 'Zweierpassen übers ganze Feld', 'Abwehrverhalten ']","['Technik', 'Technik', 'Spielfähigkeit']",U13A/Catalogs_U13A/Cat001.csv
2027-02-05,"['Kernwurf-Variationen mit 1-3 Schritten', 'Herausspielen des Balles', 'Gegenstoss 2:1 zum 3:2']","['Technik', 'Technik', 'Spielfähigkeit']",U13A/Catalogs_U13A/Cat001.csv
2027-02-12,"['Passformen (Kernwurfpass, Bodenpass, Gegenstosspass) in der Bewegung', 'Tschechenviereck', 'Ball auf Kasten abschiessen']","['Technik', 'Technik', 'Spielfähigkeit']",U13A/Catalogs_U13A/Cat001.csv
2027-02-15,"['Sprungwurf hoch/weit', 'Duell um die Welt', '5er Passen']","['Technik', 'Technik', 'Spielfähigkeit']",U13A/Catalogs_U13A/Cat001.csv
2027-02-19,"['Täuschen/Durchbrechen (ohne/mit Ball)', 'Parallelpassen', 'Ablaufen mit/ohne Ball ']","['Technik', 'Technik', 'Spielfähigkeit']",U13A/Catalogs_U13A/Cat001.csv
2027-02-22,"['Täuschungen Nullkontakt li/re; re/li mit Ball ', 'Sprungwurf duell', 'Ball in Kreis ablegen']","['Technik', 'Technik', 'Spielfähigkeit']",U13A/Catalogs_U13A/Cat001.csv
2027-02-26,"['Abdrängen des Gegners ', 'Rennen zum Ball', 'Kreis anspielen']","['Technik', 'Technik', 'Spielfähigkeit']",U13A/Catalogs_U13A/Cat001.csv
2027-03-08,"['Prellen ', 'Einpassen auf Bänkli', 'Viereck passen - drei mal prellen für Punkt']","['Technik', 'Technik', 'Spielfähigkeit']",U13A/Catalogs_U13A/Cat001.csv
2027-03-12,"['Kernwurf-Variationen mit 1-3 Schritten', 'Abwehrtechnik/Beinarbeit ', '2:1 bis 3:2 am Flügel']","['Technik', 'Technik', 'Spielfähigkeit']",U13A/Catalogs_U13A/Cat001.csv
2027-03-15,"['Herausspielen des Balles', 'Zweierpassen übers ganze Feld', 'Abwehrverhalten ']","['Technik', 'Technik', 'Spielfähigkeit']",U13A/Catalogs_U13A/Cat001.csv
