date,selection,category,catalog
2026-01-07,"['Sprungwurf hoch/weit', 'Rennen zum Ball', 'Ablaufen mit/ohne Ball ']","['Technik', 'Technik', 'Spielfähigkeit']",U13B/Catalogs_U13B/Cat001.csv
2026-01-09,"['Abdrängen des Gegners ', 'Einpassen auf Bänkli', 'Abwehrverhalten ']","['Technik', 'Technik', 'Spielfähigkeit']",U13B/Catalogs_U13B/Cat001.csv
2026-01-14,"['Prellen ', 'Tschechenviereck', 'Gegenstoss 2:1 zum 3:2']","['Technik', 'Technik', 'Spielfähigkeit']",U13B/Catalogs_U13B/Cat001.csv
2026-01-16,"['Kernwurf-Variationen mit 1-3 Schritten', 'Täuschen/Durchbrechen (ohne/mit Ball)', '1:1 - 4:4 Gleichzahl mit und ohne Kreisläufer (mit zwei Anspielstationen) ']","['Technik', 'Technik', 'Spielfähigkeit']",U13B/Catalogs_U13B/Cat001.csv
2026-01-21,"['Täuschungen Nullkontakt li/re; re/li mit Ball ', 'Abwehrtechnik/Beinarbeit ', '2:1 bis 3:2 am Flügel']","['Technik', 'Technik', 'Spielfähigkeit']",U13B/Catalogs_U13B/Cat001.csv
2026-01-23,"['Zweierpassen übers ganze Feld', 'Duell um die Welt', 'Vom 2:1 zum 4:3 ']","['Technik', 'Technik', 'Spielfähigkeit']",U13B/Catalogs_U13B/Cat001.csv
2026-01-28,"['Passformen (Kernwurfpass, Bodenpass, Gegenstosspass) in der Bewegung', 'Parallelpassen', 'Kreis anspielen']","['Technik', 'Technik', 'Spielfähigkeit']",U13B/Catalogs_U13B/Cat001.csv
2026-01-30,"['Sprungwurf hoch/weit', 'Sprungwurf duell', 'Ball auf Kasten abschiessen']","['Technik', 'Technik', 'Spielfähigkeit']",U13B/Catalogs_U13B/Cat001.csv
2026-02-04,"['Rennen zum Ball', 'Einpassen auf Bänkli', 'Ball in Kreis ablegen']","['Technik', 'Technik', 'Spielfähigkeit']",U13B/Catalogs_U13B/Cat001.csv
2026-02-06,"['Abdrängen des Gegners ', 'Tschechenviereck', 'Ablaufen mit/ohne Ball ']","['Technik', 'Technik', 'Spielfähigkeit']",U13B/Catalogs_U13B/Cat001.csv
2026-02-11,"['Prellen ', 'Täuschen/Durchbrechen (ohne/mit Ball)', 'Viereck passen - drei mal prellen für Punkt']","['Technik', 'Technik', 'Spielfähigkeit']",U13B/Catalogs_U13B/Cat001.csv
2026-02-13,"['Abwehrtechnik/Beinarbeit ', 'Herausspielen des Balles', 'Gegenstoss 2:1 zum 3:2']","['Technik', 'Technik', 'Spielfähigkeit']",U13B/Catalogs_U13B/Cat001.csv
2026-02-18,"['Kernwurf-Variationen mit 1-3 Schritten', 'Täuschungen Nullkontakt li/re; re/li mit Ball ', '5er Passen']","['Technik', 'Technik', 'Spielfähigkeit']",U13B/Catalogs_U13B/Cat001.csv
2026-02-20,"['Passformen (Kernwurfpass, Bodenpass, Gegenstosspass) in der Bewegung', 'Duell um die Welt', '1:1 - 4:4 Gleichzahl mit und ohne Kreisläufer (mit zwei Anspielstationen) ']","['Technik', 'Technik', 'Spielfähigkeit']",U13B/Catalogs_U13B/Cat001.csv
2026-03-04,"['Zweierpassen übers ganze Feld', 'Sprungwurf duell', '2:1 bis 3:2 am Flügel']","['Technik', 'Technik', 'Spielfähigkeit']",U13B/Catalogs_U13B/Cat001.csv
2026-03-06,"['Parallelpassen', 'Einpassen auf Bänkli', 'Abwehrverhalten ']","['Technik', 'Technik', 'Spielfähigkeit']",U13B/Catalogs_U13B/Cat001.csv
2026-03-11,"['Sprungwurf hoch/weit', 'Tschechenviereck', 'Vom 2:1 zum 4:3 ']","['Technik', 'Technik', 'Spielfähigkeit']",U13B/Catalogs_U13B/Cat001.csv
2026-03-13,"['Prellen ', 'Täuschen/Durchbrechen (ohne/mit Ball)', 'Ball auf Kasten abschiessen']","['Technik', 'Technik', 'Spielfähigkeit']",U13B/Catalogs_U13B/Cat001.csv
2026-03-18,"['Abwehrtechnik/Beinarbeit ', 'Rennen zum Ball', 'Ball in Kreis ablegen']","['Technik', 'Technik', 'Spielfähigkeit']",U13B/Catalogs_U13B/Cat001.csv
2026-03-20,"['Kernwurf-Variationen mit 1-3 Schritten', 'Abdrängen des Gegners ', 'Viereck passen - drei mal prellen für Punkt']","['Technik', 'Technik', 'Spielfähigkeit']",U13B/Catalogs_U13B/Cat001.csv
2026-03-25,"['Täuschungen Nullkontakt li/re; re/li mit Ball ', 'Passformen (Kernwurfpass, Bodenpass, Gegenstosspass) in der Bewegung', 'Kreis anspielen']","['Technik', 'Technik', 'Spielfähigkeit']",U13B/Catalogs_U13B/Cat001.csv
