date,selection,category,catalog
2026-05-11,"['Täuschungen Nullkontakt li/re; re/li mit Ball ', 'Abdrängen des Gegners ', 'Gegenstoss 2:1 zum 3:2']","['Technik', 'Technik', 'Spielfähigkeit']",U13B/Catalogs_U13B/Cat001.csv
2026-05-18,"['Kernwurf-Variationen mit 1-3 Schritten', 'Tschechenviereck', '5er Passen']","['Technik', 'Technik', 'Spielfähigkeit']",U13B/Catalogs_U13B/Cat001.csv
2026-05-22,"['Rennen zum Ball', 'Einpassen auf Bänkli', 'Abwehrverhalten ']","['Technik', 'Technik', 'Spielfähigkeit']",U13B/Catalogs_U13B/Cat001.csv
2026-05-29,"['Sprungwurf hoch/weit', 'Sprungwurf duell', 'Kreis anspielen']","['Technik', 'Technik', 'Spielfähigkeit']",U13B/Catalogs_U13B/Cat001.csv
2026-06-01,"['Täuschen/Durchbrechen (ohne/mit Ball)', 'Herausspielen des Balles', '2:1 bis 3:2 am Flügel']","['Technik', 'Technik', 'Spielfähigkeit']",U13B/Catalogs_U13B/Cat001.csv
2026-06-05,"['Abwehrtechnik/Beinarbeit ', 'Duell um die Welt', 'Viereck passen - drei mal prellen für Punkt']","['Technik', 'Technik', 'Spielfähigkeit']",U13B/Catalogs_U13B/Cat001.csv
2026-06-08,"['Zweierpassen übers ganze Feld', 'Parallelpassen', 'Vom 2:1 zum 4:3 ']","['Technik', 'Technik', 'Spielfähigkeit']",U13B/Catalogs_U13B/Cat001.csv
2026-06-12,"['Täuschungen Nullkontakt li/re; re/li mit Ball ', 'Passformen (Kernwurfpass, Bodenpass, Gegenstosspass) in der Bewegung', 'Ball in Kreis ablegen']","['Technik', 'Technik', 'Spielfähigkeit']",U13B/Catalogs_U13B/Cat001.csv
2026-06-15,"['Kernwurf-Variationen mit 1-3 Schritten', 'Tschechenviereck', 'Ball auf Kasten abschiessen']","['Technik', 'Technik', 'Spielfähigkeit']",U13B/Catalogs_U13B/Cat001.csv
2026-06-19,"['Prellen ', 'Rennen zum Ball', '1:1 - 4:4 Gleichzahl mit und ohne Kreisläufer (mit zwei Anspielstationen) ']","['Technik', 'Technik', 'Spielfähigkeit']",U13B/Catalogs_U13B/Cat001.csv
